iata,icao,airport_name,location_served
AAA,NTGA,anaa_airport,anaa__tuamotus__french_polynesia
AAB,YARY,arrabury_airport,arrabury__queensland__australia
AAC,HEAR,el_arish_international_airport,el_arish__egypt
AAD,,adado_airport,adado_(cadaado)__galguduud__somalia
AAE,DABB,rabah_bitat_airport_(les_salines_airport),annaba__algeria
AAF,KAAF,apalachicola_regional_airport,apalachicola__florida__united_states
AAG,SSYA,arapoti_airport,arapoti__paraná__brazil
AAH,EDKA,merzbrück_airport,aachen__north_rhine-westphalia__germany
AAI,SWRA,arraias_airport,arraias__tocantins__brazil
AAJ,SMCA,cayana_airstrip,awaradam__suriname
AAK,NGUK,aranuka_airport,aranuka__kiribati
AAL,EKYT,aalborg_airport,aalborg__denmark
AAM,FAMD,mala_mala_airport,mala_mala__south_africa
AAN,OMAL,al_ain_international_airport,al_ain__united_arab_emirates
AAO,SVAN,anaco_airport,anaco__venezuela
AAP,WALS,aji_pangeran_tumenggung_pranoto_international_airport,samarinda__east_kalimantan__indonesia
AAQ,URKA,anapa_airport,anapa__krasnodar_krai__russia
AAR,EKAH,aarhus_airport,aarhus__denmark
AAS,DAAS,apalapsili_airport,apalapsili__indonesia
AAT,ZWAT,altay_airport,altay__xinjiang__china
AAU,NSAU,asau_airport,asau__savai'i_island__samoa
AAV,RPMA,allah_valley_airport,surallah__philippines
AAX,SBAX,araxá_airport,araxá__minas_gerais__brazil
AAY,OYGD,al_ghaydah_airport,al_ghaydah__yemen
AAZ,MGQZ,quetzaltenango_airport,quetzaltenango__guatemala
ABA,UNAA,abakan_international_airport,abakan__republic_of_khakassia__russia
ABB,DNAS,asaba_international_airport,asaba__nigeria
ABC,LEAB,albacete_airport,albacete__castilla-la_mancha__spain
ABD,OIAA,abadan_international_airport,abadan__iran
ABE,KABE,lehigh_valley_international_airport,allentown__pennsylvania__united_states
ABF,NGAB,abaiang_atoll_airport,abaiang__kiribati
ABG,YABI,abingdon_airport,abingdon__queensland__australia
ABH,YAPH,alpha_airport,alpha__queensland__australia
ABI,KABI,abilene_regional_airport,abilene__texas__united_states
ABJ,DIAP,port_bouet_airport_(felix_houphouet_boigny_int'l),abidjan
