iata,icao,airport_name,location_served
BAA,AYBL,bialla_airport,bialla__papua_new_guinea
BAB,KBAB,beale_air_force_base,marysville__california__united_states
BAC,,barranca_de_upia_airport,barranca_de_upía__colombia
BAD,KBAD,barksdale_air_force_base,bossier_city__louisiana__united_states
BAE,LFMR,barcelonnette_–_saint-pons_airport,barcelonnette__alpes-de-haute-provence__france
BAF,KBAF,westfield-barnes_regional_airport,westfield_/_springfield__massachusetts__united_states
BAG,RPUB,loakan_airport,baguio__philippines
BAH,OBBI,bahrain_international_airport,manama__bahrain
BAI,MRBA,buenos_aires_airport,buenos_aires__costa_rica
BAJ,,bali_airport,bali__papua_new_guinea
BAK[DAPI],,metropolitan_areadapi,baku__azerbaijan
BAL,LTCJ,batman_airport,batman__turkey
BAM,KBAM,battle_mountain_airport_(lander_county_airport),battle_mountain__nevada__united_states
BAN,FZVR,basongo_airport,basongo__democratic_republic_of_the_congo
BAP,,baibara_airport,baibara__papua_new_guinea
BAQ,SKBQ,ernesto_cortissoz_international_airport,barranquilla__colombia
BAR,,qionghai_bo'ao_airport,qionghai__hainan__china
BAS,AGGE,balalae_airport,balalae_island__western__solomon_islands
BAT,SBBT,chafei_amsei_airport,barretos__são_paulo__brazil
BAV,ZBOW,baotou_airport,baotou__inner_mongolia__china
BAW,,biawonque_airport,biawonque__gabon
BAX,UNBB,barnaul_airport,barnaul__altai_krai__russia
BAY,LRBM,baia_mare_airport,baia_mare__romania
BAZ,SWBC,barcelos_airport,barcelos__amazonas__brazil
BBA,SCBA,balmaceda_airport,balmaceda__chile
BBB,KBBB,benson_municipal_airport,benson__minnesota__united_states
BBC,KBYY,bay_city_municipal_airport_(faa:_byy),bay_city__texas__united_states
BBD,KBBD,curtis_field,brady__texas__united_states
BBG,NGTU,butaritari_atoll_airport,butaritari_atoll__kiribati
BBH,EDBH,stralsund–barth_airport,stralsund_/_barth__mecklenburg-vorpommern__germany
BBI,VEBS,biju_patnaik_international_airport,bhubaneswar__odisha__india
BBJ,EDRB,bitburg_airport_(former_bitburg_air_base),bitburg__rhineland-palatinate__germany
BBK,FBKE,kasane_airport,kasane__botswana
BBL,YLLE,ballera_airport,ballera_gas_plant__queensland__australia
BBM,VDBG,battambang_airport,battambang__cambodia
BBN,WBGZ,bario_airport,bario__sarawak__malaysia
BBO,HCMI,berbera_airport,berbera__somalia
BBP,EGHJ,bembridge_airport,bembridge__england__united_kingdom
BBQ,TAPH,barbuda_codrington_airport,barbuda__antigua_and_barbuda
BBR,TFFB,baillif_airport,basse-terre__guadeloupe
BBS,EGLK,blackbushe_airport,yateley__england__united_kingdom
BBT,FEFT,berbérati_airport,berbérati__central_african_republic
BBU,LRBS,aurel_vlaicu_international_airport_(băneasa_airport),bucharest__romania
BBV,DIGN,nero-mer_airport,grand-béréby__ivory_coast
BBW,KBBW,broken_bow_municipal_airport,broken_bow__nebraska__united_states
BBX,KLOM,wings_field_(faa:_lom),philadelphia__pennsylvania__united_states
BBY,FEFM,bambari_airport,bambari__central_african_republic
BBZ,FLZB,zambezi_airport,zambezi__zambia
BCA,MUBA,gustavo_rizo_airport,baracoa__cuba
BCB,KBCB,virginia_tech_montgomery_executive_airport,blacksburg__virginia__united_states
BCC,,bear_creek_dapi_airport_(faa:_zdapidapi),bear_creek__alaska__united_states
BCD,RPVB,bacolod–silay_international_airport,bacolod__philippines
BCE,KBCE,bryce_canyon_airport,bryce_canyon__utah__united_states
BCF,FEGU,bouca_airport,bouca__central_african_republic
BCG,,bemichi_airport,kumaka__guyana
BCH,WPEC,baucau_airport,baucau__east_timor
