iata,icao,airport_name,location_served
CAA,MHGE,el_aguacate_airport,catacamas__honduras
CAB,FNCA,cabinda_airport,cabinda__angola
CAC,SBCA,cascavel_airport_(adalberto_mendes_da_silva_airport),cascavel__paraná__brazil
CAD,KCAD,wexford_county_airport,cadillac__michigan__united_states
CAE,KCAE,columbia_metropolitan_airport,columbia__south_carolina__united_states
CAF,SWCA,carauari_airport,carauari__amazonas__brazil
CAG,LIEE,cagliari_elmas_airport,cagliari__sardinia__italy
CAH,VVCM,cà_mau_airport,cà_mau__vietnam
CAI,HECA,cairo_international_airport,cairo__egypt
CAJ,SVCN,canaima_airport,canaima__venezuela
CAK,KCAK,akron-canton_airport,akron_/_canton__ohio__united_states
CAL,EGEC,campbeltown_airport_/_raf_machrihanish,campbeltown__scotland__united_kingdom
CAM,SLCA,camiri_airport,camiri__bolivia
CAN,ZGGG,guangzhou_baiyun_international_airport,guangzhou__guangdong__china
CAO,KCAO,clayton_municipal_airpark,clayton__new_mexico__united_states
CAP,MTCH,hugo_chávez_international_airport,cap-haïtien__haiti
CAQ,SKCU,juan_h._white_airport,caucasia__colombia
CAR,KCAR,caribou_municipal_airport,caribou__maine__united_states
CAS,GMMC,anfa_airport,casablanca__morocco
CAT,LPCS,cascais_municipal_aerodrome[dapi],cascais__portugal
CAU,SNRU,caruaru_airport_(oscar_laranjeiras_airport),caruaru__pernambuco__brazil
CAV,FNCZ,cazombo_airport,cazombo__angola
CAW,SBCP,bartolomeu_lysandro_airport,campos_dos_goytacazes__rio_de_janeiro__brazil
CAX,EGNC,carlisle_lake_district_airport,carlisle__england__united_kingdom
CAY,SOCA,cayenne_–_félix_eboué_airport,cayenne__french_guiana
CAZ,YCBA,cobar_airport,cobar__new_south_wales__australia
CBB,SLCB,jorge_wilstermann_international_airport,cochabamba__bolivia
CBC,,cherrabun_airport,cherrabun__western_australia__australia
CBD,VOCX,car_nicobar_air_force_base,car_nicobar__andaman_and_nicobar_islands__india
CBE,KCBE,greater_cumberland_regional_airport,cumberland__maryland__united_states
CBF,KCBF,council_bluffs_municipal_airport,council_bluffs__iowa__united_states
CBG,EGSC,cambridge_airport,cambridge__england__united_kingdom
CBH,DAOR,boudghene_ben_ali_lotfi_airport,béchar__algeria
CBI,,cape_barren_island_airport,cape_barren_island__tasmania__australia
CBJ,MDCR,cabo_rojo_airport,pedernales__dominican_republic
CBK,KCBK,colby_municipal_airport_(shalz_field),colby__kansas__united_states
CBL,SVCB,tomás_de_heres_airport,ciudad_bolívar__venezuela
CBM,KCBM,columbus_air_force_base,columbus__mississippi__united_states
CBN,WICD,penggung_airport_(cakrabuwana_airport),cirebon__indonesia
CBO,RPMC,awang_airport,cotabato_city__philippines
CBP,LPCO,coimbra_airport,coimbra__portugal
CBQ,DNCA,margaret_ekpo_international_airport,calabar__nigeria
CBR,YSCB,canberra_airport,canberra__australian_capital_territory__australia
CBS,SVON,oro_negro_airport,cabimas__venezuela
CBT,FNCT,catumbela_airport,catumbela__angola
CBU,EDCD,cottbus-drewitz_airport,cottbus__brandenburg__germany
CBV,MGCB,cobán_airport,cobán__guatemala
CBW,SSKM,campo_mourão_airport,campo_mourão__paraná__brazil
CBX,YCDO,condobolin_airport,condobolin__new_south_wales__australia
CBY,,canobie_airport,canobie_station__queensland__australia
CCA,SLCH,chimore_airport,chimoré__cochabamba__bolivia
CCB,KCCB,cable_airport,upland__california__united_states
CCC,MUCC,jardines_del_rey_airport,cayo_coco__cuba
CCF,LFMK,carcassonne_airport,carcassonne__languedoc-roussillon__france
CCG,,crane_county_airport_(faa:_edapidapi),crane__texas__united_states
CCH,SCCC,chile_chico_airfield,chile_chico__chile
CCI,SSCK,concórdia_airport,concórdia__santa_catarina__brazil
CCJ,VOCL,calicut_international_airport,kozhikode_(calicut)__kerala__india
CCK,YPCC,cocos_(keeling)_islands_airport,cocos_(keeling)_islands__australia
CCL,YCCA,chinchilla_airport,chinchilla__queensland__australia
CCM,SBCM,diomício_freitas_airport,criciúma__santa_catarina__brazil
