iata,icao,airport_name,location_served
DAA,KDAA,davison_army_airfield,fort_belvoir__virginia__united_states
DAB,KDAB,daytona_beach_international_airport,daytona_beach__florida__united_states
DAC,VGHS,shahjalal_international_airport,dhaka__bangladesh
DAD,VVDN,da_nang_international_airport,da_nang__vietnam
DAF,,daup_airport,daup__papua_new_guinea
DAG,KDAG,barstow-daggett_airport,daggett__california__united_states
DAH,,dathina_airport,dathina__yemen
DAK,HEDK,dakhla_oasis_airport,dakhla_oasis__egypt
DAL,KDAL,dallas_love_field,dallas__texas__united_states
DAM,OSDI,damascus_international_airport,damascus__syria
DAN,KDAN,danville_regional_airport,danville__virginia__united_states
DAO,,dabo_airport[dapi],dabo__papua_new_guinea
DAP,VNDL,darchula_airport,darchula__nepal
DAR,HTDA,julius_nyerere_international_airport,dar_es_salaam__tanzania
DAS,,great_bear_lake_airport[dapi]_(tc:_cffdapi),great_bear_lake__northwest_territories__canada
DAT,ZBDT,datong_yungang_airport,datong__shanxi__china
DAU,AYDU,daru_airport,daru__papua_new_guinea
DAV,MPDA,enrique_malek_international_airport,david__panama
DAX,ZUDX,dazhou_heshi_airport,dazhou__sichuan__china
DAY,KDAY,dayton_international_airport,dayton__ohio__united_states
DAZ,OADZ,darwaz_airport,darwaz__afghanistan
DBA,OPDB,dalbandin_airport,dalbandin__pakistan
DBB,HEAL[DAPI],al_alamain_international_airport[dapi],el_alamein__egypt
DBC,ZYBA,baicheng_chang'an_airport[dapi],baicheng__jilin__china
DBD,VEDB,dhanbad_airport,dhanbad__jharkhand__india
DBK,,dutch_bay_seaplane_base[dapi],kalpitiya__sri_lanka
DBM,HADM,debre_marqos_airport,debre_marqos__ethiopia
DBN,KDBN,w._h._'bud'_barron_airport,dublin__georgia__united_states
DBO,YSDU,dubbo_city_regional_airport,dubbo__new_south_wales__australia
DBP,AYDB,debepare_airport,debepare__papua_new_guinea
DBQ,VEDAPIDAPI,darbhanga_airport,darbhanga__bihar__india
DBR,KDBQ,dubuque_regional_airport,dubuque__iowa__united_states
DBS,,dubois_municipal_airport_(faa:_udapidapi),dubois__idaho__united_states
DBT,HADT,debre_tabor_airport,debre_tabor__ethiopia
