iata,icao,airport_name,location_served
EAA,PAEG,eagle_airport,eagle__alaska__united_states
EAB,ODAS,abbs_airport,abbs__yemen
EAE,NVSE,siwo_airport,emae_island__shefa__vanuatu
EAL,,elenak_airport,mejato_island__kwajalein_atoll__marshall_islands
EAM,OENG,najran_domestic_airport,najran__saudi_arabia
EAN,KEAN,phifer_airfield,wheatland__wyoming__united_states
EAP[DAPI],,metropolitan_areadapi,basel__switzerland_/_mulhouse__alsace__france
EAR,KEAR,kearney_regional_airport,kearney__nebraska__united_states
EAS,LESO,san_sebastián_airport,san_sebastián__basque_country__spain
EAT,KEAT,pangborn_memorial_airport,wenatchee__washington__united_states
EAU,KEAU,chippewa_valley_regional_airport,eau_claire__wisconsin__united_states
EBA,LIRJ,marina_di_campo_airport,elba_island__tuscany__italy
EBB,HUEN,entebbe_international_airport,entebbe__uganda
EBD,HSOB,el_obeid_airport,el_obeid__sudan
EBG,SKEB,el_bagre_airport_(el_tomin_airport),el_bagre__colombia
EBH,DAOY,el_bayadh_airport[dapi],el_bayadh__algeria
EBJ,EKEB,esbjerg_airport,esbjerg__denmark
EBL,ORER,erbil_international_airport,erbil__iraq
EBM,DTTR,el_borma_airport,el_borma__tunisia
EBN,,ebadon_airstrip,ebadon_island__kwajalein_atoll__marshall_islands
EBO,,ebon_airport,ebon_atoll__marshall_islands
EBS,KEBS,webster_city_municipal_airport,webster_city__iowa__united_states
EBU,LFMH,saint-étienne–bouthéon_airport,saint-étienne__rhône-alpes__france
EBW,FKKW,ebolowa_airport,ebolowa__cameroon
ECA,,iosco_county_airport_(faa:_dapiddapi),east_tawas__michigan__united_states
ECG,KECG,elizabeth_city_regional_airport,elizabeth_city__north_carolina__united_states
ECH,YECH,echuca_airport,echuca__victoria__australia
ECI,MNLP,costa_esmeralda_airport[dapi],rivas__nicaragua
ECN,LCEN,ercan_international_airport[dapi],nicosia_(lefkoşa)__northern_cyprus
ECO,,el_encanto_airport,el_encanto__colombia
ECP,KECP,northwest_florida_beaches_international_airport,panama_city__florida__united_states
ECR,SKEH[DAPI],el_charco_airport,el_charco__colombia
ECS,KECS,mondell_field,newcastle__wyoming__united_states
EDA,,edna_bay_seaplane_base[dapi],
