iata,icao,airport_name,location_served
FAA,GUFH,faranah_airport,faranah__guinea
FAB,EGLF,farnborough_airport,farnborough__england__united_kingdom
FAC,NTKF,faaite_airport,faaite__tuamotus__french_polynesia
FAE,EKVG,vágar_airport,vágar__faroe_islands
FAF,KFAF,felker_army_airfield,fort_eustis__virginia__united_states
FAG,BIFM,fagurhólsmýri_airport,fagurhólsmýri__iceland
FAH,OAFR,farah_airport,farah__afghanistan
FAI,PAFA,fairbanks_international_airport,fairbanks__alaska__united_states
FAJ,TJFA,diego_jiménez_torres_airport_(faa:_xdapidapi),fajardo__puerto_rico__united_states
FAK,,false_island_seaplane_base_(faa:_dapizdapi),false_island__alaska__united_states
FAM,KFAM,farmington_regional_airport,farmington__missouri__united_states
FAO,LPFR,faro_airport,faro__portugal
FAQ,AYFR,frieda_river_airport,frieda_river__papua_new_guinea
FAR,KFAR,hector_international_airport,fargo__north_dakota__united_states
FAS,BIFF,fáskrúðsfjörður_airport,fáskrúðsfjörður__iceland
FAT,KFAT,fresno_yosemite_international_airport,fresno__california__united_states
FAU,OOFD,fahud_airport[dapi],fahud__oman
FAV,NTGF,fakarava_airport,fakarava__tuamotus__french_polynesia
FAY,KFAY,fayetteville_regional_airport_(grannis_field),fayetteville__north_carolina__united_states
FAZ,OISF,fasa_airport[dapi],fasa__iran
FBA,SWOB,fonte_boa_airport[dapi],fonte_boa__amazonas__brazil
FBD,OAFZ,fayzabad_airport,fayzabad__afghanistan
FBE,SSFB,francisco_beltrão_airport_(paulo_abdala_airport),francisco_beltrão__paraná__brazil
FBG,KFBG,simmons_army_airfield,fort_bragg__north_carolina__united_states
FBK,PAFB,ladd_army_airfield,fairbanks__alaska__united_states
FBL,KFBL,faribault_municipal_airport,faribault__minnesota__united_states
FBM,FZQA,lubumbashi_international_airport,lubumbashi__democratic_republic_of_the_congo
FBR,KFBR,fort_bridger_airport,fort_bridger__wyoming__united_states
FBS,,friday_harbor_seaplane_base_(faa:_wdapidapi),friday_harbor__washington__united_states
FBY,KFBY,fairbury_municipal_airport,fairbury__nebraska__united_states
FCA,KGPI,glacier_park_international_airport_(faa:_gpi),kalispell__montana__united_states
FCB,FAFB,ficksburg_airport,ficksburg__south_africa
FCH,KFCH,fresno_chandler_executive_airport,fresno__california__united_states
FCM,KFCM,flying_cloud_airport,eden_prairie__minnesota__united_states
FCN,ETMN,sea-airport_cuxhaven/nordholz,cuxhaven__lower_saxony__germany
FCO,LIRF,leonardo_da_vinci–fiumicino_airport,rome__lazio__italy
FCS,KFCS,butts_army_airfield_(fort_carson),colorado_springs__colorado__united_states
FCY,KFCY,forrest_city_municipal_airport,forrest_city__arkansas__united_states
FDE,ENBL,førde_airport__bringeland,førde__norway
FDF,TFFF,martinique_aimé_césaire_international_airport,fort-de-france__martinique
