iata,icao,airport_name,location_served
HAA,ENHK,hasvik_airport,hasvik__norway
HAB,KHAB,marion_county_–_rankin_fite_airport,hamilton__alabama__united_states
HAC,RJTH,hachijojima_airport,hachijō-jima_(hachijojima)__izu_islands__japan
HAD,ESMT,halmstad_airport_(halmstad_city_airport),halmstad__sweden
HAF,KHAF,half_moon_bay_airport,half_moon_bay__california__united_states
HAH,FMCH,prince_said_ibrahim_international_airport,moroni__comoros
HAI,KHAI,three_rivers_municipal_airport_(dr._haines_flying_field),three_rivers__michigan__united_states
HAJ,EDDV,hannover_airport,hanover__lower_saxony__germany
HAK,ZJHK,haikou_meilan_international_airport,haikou__hainan__china
HAL,FYHI,halali_airport,halali__namibia
HAM,EDDH,hamburg_airport,hamburg__germany
HAN,VVNB,noi_bai_international_airport,hanoi__vietnam
HAO,KHAO,butler_county_regional_airport,hamilton__ohio__united_states
HAQ,VRMH,hanimaadhoo_international_airport,hanimaadhoo__haa_dhaalu_atoll__maldives
HAR,KCXY,capital_city_airport_(faa:_cxy),harrisburg__pennsylvania__united_states
HAS,OEHL,ha'il_regional_airport,ha'il_(hail)__saudi_arabia
HAT,YHTL,heathlands_airport,heathlands__queensland__australia
HAU,ENHD,haugesund_airport__karmøy,haugesund__norway
HAV,MUHA,josé_martí_international_airport,havana__cuba
HAW,EGFE,haverfordwest_aerodrome,haverfordwest__wales__united_kingdom
HAY,,hacaritama_airport,aguachica__colombia
HAZ,,hatzfeldthaven_airport,hatzfeldthaven__papua_new_guinea
HBA,YMHB,hobart_international_airport,hobart__tasmania__australia
HBB,,hobbs_industrial_airpark,hobbs__new_mexico__united_states
HBD,,habi_airport,habi__papua_new_guinea
HBE,HEBA,borg_el_arab_airport,alexandria_/_borg_el_arab__egypt
HBG,KHBG,hattiesburg_bobby_l._chain_municipal_airport,hattiesburg__mississippi__united_states
HBH,,entrance_island_seaplane_base_(hobart_bay)_(faa:_dapizdapi),entrance_island__alaska__united_states
HBK,,holbrook_municipal_airport[dapi]_(faa:_pdapidapi),holbrook__arizona__united_states
HBQ,,qilian_airport,qilian__qinghai__china
HBR,KHBR,hobart_regional_airport,hobart__oklahoma__united_states
HBT,,hambantota_sea_plane_base,hambantota__sri_lanka
HBU,ZMBS,bulgan_airport__khovd[dapi],bulgan_(khovd_province)__mongolia
HBX,VAHB,hubli_airport,hubli_/_dharwad__karnataka__india
HCA,KBPG,big_spring_mcmahon–wrinkle_airport[dapi]_(faa:_bpg),big_spring__texas__united_states
HCC,,columbia_county_airport_(faa:_dapibdapi),hudson__new_york__united_states
HCJ,ZGHC,hechi_jinchengjiang_airport,hechi__guangxi__china
HCM,HCME,eyl_airport,eyl__somalia
HCN,RCKW,hengchun_airport,hengchun__taiwan
HCQ,YHLC,halls_creek_airport,halls_creek__western_australia__australia
HCR,PAHC,holy_cross_airport_(faa:_hca),holy_cross__alaska__united_states
HCW,KCQW,cheraw_municipal_airport_(lynch_bellinger_field__faa:_cqw),cheraw__south_carolina__united_states
HDB,EDIU,heidelberg_airport,heidelberg__baden-württemberg__germany
HDD,OPKD,hyderabad_airport,hyderabad__pakistan
HDE,KHDE,brewster_field,holdrege__nebraska__united_states
HDF,EDAH,heringsdorf_airport,heringsdorf__mecklenburg-vorpommern__germany
HDG,ZBHD,handan_airport,handan__hebei__china
HDH,PHDH,dillingham_airfield,mokulēia__hawaii__united_states
HDK,VRBK,kulhudhuffushi_airport,haa_dhaalu_atoll__maldives
HDM,OIHH,hamadan_airport,hamadan__iran
HDN,KHDN,yampa_valley_airport,hayden__colorado__united_states
HDR,OIKP,havadarya_airport[dapi],bandar_abbas__iran
HDS,FAHS,air_force_base_hoedspruit,hoedspruit__south_africa
HDY,VTSS,hat_yai_international_airport,hat_yai__thailand
HEA,OAHR,herat_international_airport,herat__afghanistan
HEB,VBHD,hinthada_airport,hinthada__myanmar
HED,,herendeen_bay_airport_(faa:_akdapidapi),herendeen_bay__alaska__united_states
HEE,KHEE,thompson–robbins_airport,helena-west_helena__arkansas__united_states
HEH,VYHH,heho_airport,heho__myanmar
HEI,EDXB,heide–büsum_airport,heide_/_büsum__schleswig-holstein__germany
HEK,ZYHE,heihe_airport,heihe__heilongjiang__china
HEL,EFHK,helsinki_airport_(helsinki-vantaa_airport),helsinki__finland
HEM,EFHF,helsinki-malmi_airport,helsinki__finland
HEO,,haelogo_airport,haelogo__papua_new_guinea
HER,LGIR,heraklion_international_airport_(nikos_kazantzakis_airport),heraklion__greece
HES,KHRI,hermiston_municipal_airport_(faa:_hri),hermiston__oregon__united_states
HET,ZBHH,hohhot_baita_international_airport,hohhot__inner_mongolia__china
HEZ,KHEZ,natchez–adams_county_airport_(hardy–anders_field),natchez__mississippi__united_states
HFA,LLHA,haifa_airport_(uri_michaeli_airport),haifa__israel
HFD,KHFD,hartford–brainard_airport,hartford__connecticut__united_states
HFE,ZSOF,hefei_xinqiao_international_airport_(formerly_hefei_luogang_international_airport),hefei__anhui__china
HFF,KHFF,mackall_army_airfield,hoffman__north_carolina__united_states
HFN,BIHN,hornafjörður_airport,höfn__iceland
HFS,ESOH,hagfors_airport,hagfors__sweden
HFT,ENHF,hammerfest_airport,hammerfest__norway
HGA,HCMH,hargeisa_international_airport_(egal_int'l),hargeisa__somalia
HGD,YHUG,hughenden_airport,hughenden__queensland__australia
HGE,SVHG[DAPI],higuerote_airport[dapi],higuerote__venezuela
HGH,ZSHC,hangzhou_xiaoshan_international_airport,hangzhou__zhejiang__china
