iata,icao,airport_name,location_served
IAA,UOII,igarka_airport,igarka__krasnoyarsk_krai__russia
IAB,KIAB,mcconnell_air_force_base,wichita__kansas__united_states
IAD,KIAD,washington_dulles_international_airport,washington__d.c._dapi_united_states
IAG,KIAG,niagara_falls_international_airport,niagara_falls__new_york__united_states
IAH,KIAH,george_bush_intercontinental_airport,houston__texas__united_states
IAM,DAUZ,in_amenas_airport_(zarzaitine_airport),in_amenas__algeria
IAN,PAIK,bob_baker_memorial_airport,kiana__alaska__united_states
IAO,RPNS,sayak_airport[dapi]_(siargao_airport),del_carmen__philippines
IAQ,OIBH[DAPI],bahregan_airport,bahregan__iran
IAR,UUDL,tunoshna_airport,yaroslavl__yaroslavl_oblast__russia
IAS,LRIA,iași_international_airport,iași__romania
IAU,,iaura_airport,iaura__papua_new_guinea
IBA,DNIB,ibadan_airport,ibadan__nigeria
IBB,SEII[DAPI],general_villamil_airport[dapi],isabela_island__galápagos_islands__ecuador
IBE,SKIB,perales_airport,ibagué__colombia
IBI,,iboki_airport,iboki__papua_new_guinea
IBL,,indigo_bay_lodge_airport,bazaruto_island__mozambique
IBO,,ibo_island_airport[dapi],ibo_island__mozambique
IBP,SPBR,iberia_airport,iberia__peru
IBR,RJAH,ibaraki_airport,omitama__honshu__japan
IBZ,LEIB,ibiza_airport,ibiza__balearic_islands__spain
ICA,SVIC,icabarú_airport,icabarú__venezuela
ICC,SVIE,andrés_miguel_salazar_marcano_airport[dapi],coche_island__venezuela
ICI,NFCI,cicia_airport,cicia_island__fiji
ICK,SMNI,majoor_henk_fernandes_airport_(nieuw_nickerie_airport),nieuw_nickerie__suriname
ICL,KICL,schenck_field,clarinda__iowa__united_states
ICN,RKSI,incheon_international_airport,seoul__south_korea
ICO,RPSG,sicogon_airport,sicogon__philippines
ICS,,cascade_airport[dapi]_(faa:_kudapidapi),cascade__idaho__united_states
ICT,KICT,wichita_dwight_d._eisenhower_national_airport,wichita__kansas__united_states
ICY,,icy_bay_airport_(faa:_dapidapiak),icy_bay__alaska__united_states
IDA,KIDA,idaho_falls_regional_airport,idaho_falls__idaho__united_states
IDB,ESUE,idre_airport,idre__sweden
IDC,,chilonzuine_island_airstrip[dapi],chilonzuine_island__mozambique
IDF,FZCB,idiofa_airport,idiofa__democratic_republic_of_the_congo
IDG,KIDG,ida_grove_municipal_airport,ida_grove__iowa__united_states
IDH,KGIC,idaho_county_airport[dapi]_(faa:_gic),grangeville__idaho__united_states
IDI,KIDI,indiana_county–jimmy_stewart_airport,indiana__pennsylvania__united_states
IDK,YIDK,indulkana_airport,indulkana__south_australia__australia
IDN,,indagen_airport,indagen__papua_new_guinea
