iata,icao,airport_name,location_served
JAA,OAJL,jalalabad_airport,jalalabad__afghanistan
JAB,YJAB,jabiru_airport,jabiru__northern_territory__australia
JAC,KJAC,jackson_hole_airport,jackson__wyoming__united_states
JAD,YPJT,jandakot_airport,perth__western_australia__australia
JAE,SPJE,jaén_airport,jaén__peru
JAF,VCCJ,jaffna_airport,jaffna__sri_lanka
JAG,OPJA,paf_base_shahbaz,jacobabad__pakistan
JAI,VIJP,jaipur_international_airport,jaipur__rajasthan__india
JAK,MTJA,jacmel_airport,jacmel__haiti
JAL,MMJA,el_lencero_airport,xalapa_(jalapa)__veracruz__mexico
JAM,,bezmer_air_base,yambol__bulgaria
JAN,KJAN,jackson–evers_international_airport,jackson__mississippi__united_states
JAP,MRCH,chacarita_airport[dapi],puntarenas__costa_rica
JAQ,,jacquinot_bay_airport,jacquinot_bay__papua_new_guinea
JAR,OISJ,jahrom_airport[dapi],jahrom__iran
JAS,KJAS,jasper_county_airport_(bell_field),jasper__texas__united_states
JAT,,jabot_airport,jabat_island__marshall_islands
JAU,SPJJ,francisco_carle_airport,jauja__peru
JAV,BGJN,ilulissat_airport,ilulissat__greenland
JAX,KJAX,jacksonville_international_airport,jacksonville__florida__united_states
JBB,WARE,notohadinegoro_airport,jember__indonesia
JBQ,MDJB,la_isabela_international_airport_(dr._joaquin_balaguer_int'l),la_isabela__dominican_republic
JBR,KJBR,jonesboro_municipal_airport,jonesboro__arkansas__united_states
JBS,SSSB,são_borja_airport,são_borja__rio_grande_do_sul__brazil
JBT,,bethel_seaplane_base_(faa:_zdapidapi),bethel__alaska__united_states
JCB,SSJA,santa_terezinha_municipal_airport,joaçaba__santa_catarina__brazil
JCI,KIXD,new_century_aircenter_(faa:_ixd),olathe__kansas__united_states
JCK,YJLC,julia_creek_airport,julia_creek__queensland__australia
JCM,SNJB,jacobina_airport,jacobina__bahia__brazil
JCR,SBEK,jacareacanga_airport,jacareacanga__pará__brazil
JCT,KJCT,kimble_county_airport,junction__texas__united_states
JCY,,lbj_ranch_airport_(faa:_dapitedapi),johnson_city__texas__united_states
JDA,KGCD,grant_county_regional_airport_(ogilvie_field)_(faa:_gcd),john_day__oregon__united_states
JDF,SBJF,francisco_álvares_de_assis_airport,juiz_de_fora__minas_gerais__brazil
JDG,RKPD,jeongseok_airport,seogwipo__south_korea
JDH,VIJO,jodhpur_airport,jodhpur__rajasthan__india
JDN,KJDN,jordan_airport,jordan__montana__united_states
