iata,icao,airport_name,location_served
KAA,FLKS,kasama_airport,kasama__zambia
KAB,FVKB,kariba_airport,kariba__zimbabwe
KAC,OSKL,kamishly_airport,qamishli_(kamishly)__syria
KAD,DNKA,kaduna_airport,kaduna__nigeria
KAE,,kake_seaplane_base,kake__alaska__united_states
KAF,,karato_airport,karato__papua_new_guinea
KAG,RKNN,gangneung_air_base,gangneung__south_korea
KAI,SYKA,kaieteur_international_airport,kaieteur__guyana
KAJ,EFKI,kajaani_airport,kajaani__finland
KAK,,kar_airport,kar__papua_new_guinea
KAL,PAKV,kaltag_airport,kaltag__alaska__united_states
KAM,ODKM,kamaran_airport,kamaran__yemen
KAN,DNKN,mallam_aminu_kano_international_airport,kano__nigeria
KAO,EFKS,kuusamo_airport,kuusamo__finland
KAP,FZSK,kapanga_airport,kapanga__democratic_republic_of_the_congo
KAQ,AYKH,kamulai_airport[dapi],kamulai__papua_new_guinea
KAR,SYKM,kamarang_airport,kamarang__guyana
KAS,FYKB,karasburg_airport,karasburg__namibia
KAT,NZKT,kaitaia_airport,kaitaia__new_zealand
KAU,EFKA,kauhava_airfield,kauhava__finland
KAV,SVKA,kavanayén_airport,kavanayén__venezuela
KAW,VYKT,kawthaung_airport,kawthaung__myanmar
KAX,YKBR,kalbarri_airport,kalbarri__western_australia__australia
KAY,NFNW,wakaya_airport,wakaya_island__fiji
KAZ,WAMK,kuabang_airport,kao__indonesia
KBA,GFKB,kabala_airport,kabala__sierra_leone
KBB,,kirkimbie_airport[dapi],kirkimbie_station__northern_territory__australia
KBC,,birch_creek_airport_(faa:_zdapidapi),birch_creek__alaska__united_states
KBD,,kimberley_downs_airport,kimberley_downs__western_australia__australia
KBE,,bell_island_hot_springs_seaplane_base,bell_island__alaska__united_states
KBF,WABK,karubaga_airport,karubaga__indonesia
KBG,HUKF,kabalega_falls_airport,kabalega_falls__uganda
KBI,FKKB,kribi_airport,kribi__cameroon
KBJ,YKCA,kings_canyon_airport,kings_canyon__northern_territory__australia
KBL,OAKB,hamid_karzai_international_airport,kabul__afghanistan
KBM,AYKB,kabwum_airport,kabwum__papua_new_guinea
KBN,FZWT,tunta_airport,kabinda__democratic_republic_of_the_congo
KBO,FZRM,kabalo_airport,kabalo__democratic_republic_of_the_congo
KBP,UKBB,boryspil_international_airport,kyiv__ukraine
KBQ,FWKG,kasungu_airport,kasungu__malawi
KBR,WMKC,sultan_ismail_petra_airport,kota_bharu__kelantan__malaysia
KBS,GFBO,bo_airport,bo__sierra_leone
KBT,,kaben_airport,kaben__maloelap_atoll__marshall_islands
KBU,WRBK,gusti_syamsir_alam_airport_(stagen_airport),kotabaru__indonesia
KBV,VTSG,krabi_airport,krabi__thailand
KBW,,chignik_bay_seaplane_base_(faa:_zdapidapi),chignik__alaska__united_states
KBX,WASU,kambuaya_airport,ayamaru__indonesia
KBY,YKBY,streaky_bay_airport,streaky_bay__south_australia__australia
KBZ,NZKI,kaikoura_aerodrome,kaikoura__new_zealand
KCA,ZWKC,kuqa_qiuci_airport,kuqa__xinjiang__china
KCB,SMTP,tepoe_airstrip,kasikasima__suriname
KCC,,coffman_cove_seaplane_base,coffman_cove__alaska__united_states
KCD,,kamur_airport,kamur__indonesia
KCE,YCSV,collinsville_airport,collinsville__queensland__australia
KCF,,kadanwari_airport,kadanwari__pakistan
KCG,,chignik_fisheries_airport_(closed),chignik__alaska__united_states
KCH,WBGG,kuching_international_airport,kuching__sarawak__malaysia
KCJ,,komaio_airport,komaio__papua_new_guinea
KCK,UIKK,kirensk_airport,kirensk__irkutsk_oblast__russia
KCL,,chignik_lagoon_airport_(chignik_flats_airport),chignik_lagoon__alaska__united_states
KCM,LTCN,kahramanmaraş_airport,kahramanmaraş__turkey
KCN,,chernofski_harbor_seaplane_base,chernofski_harbor__alaska__united_states
KCO,LTBQ,cengiz_topel_naval_air_station,i̇zmit__turkey
KCP,,kamianets-podilskyi_airport,kamianets-podilskyi__ukraine
KCQ,,chignik_lake_airport_(faa:_adapidapi),chignik_lake__alaska__united_states
KCR,,colorado_creek_airport,colorado_creek__alaska__united_states
KCS,YKCS,kings_creek_station_airport,kings_creek_station__northern_territory__australia
KCT,VCCK,koggala_airport,koggala__sri_lanka
KCU,HUMI,masindi_airport,masindi__uganda
KCZ,RJOK,kōchi_ryōma_airport,kōchi__shikoku__japan
KDA,GOGK,kolda_north_airport,kolda__senegal
KDB,YKBL,kambalda_airport,kambalda__western_australia__australia
KDC,DBBK,kandi_airport,kandi__benin
KDD,OPKH,khuzdar_airport,khuzdar__pakistan
KDE,AYOW,koroba_airport,koroba__papua_new_guinea
KDH,OAKN,kandahar_international_airport,kandahar__afghanistan
KDI,WAWW,haluoleo_airport,kendari__indonesia
KDJ,FOGJ,ndjolé_ville_airport,ndjolé__gabon
KDK,PAKD,kodiak_municipal_airport,kodiak__alaska__united_states
KDL,EEKA,kärdla_airport,kärdla__estonia
KDM,VRMT,kaadedhdhoo_airport,kaadedhdhoo_island__gaafu_dhaalu_atoll__maldives
KDN,FOGE,ndendé_airport,ndendé__gabon
KDO,VRMK,kadhdhoo_airport,kadhdhoo_island__laamu_atoll__maldives
KDP,AYNN,kandep_airport,kandep__papua_new_guinea
KDQ,AYTO,kamberatoro_airport,kamberatoro__papua_new_guinea
KDR,AYKC,kandrian_airport,kandrian__papua_new_guinea
KDS,,kamaran_downs_airport,kamaran_downs__queensland__australia
KDT,VTBK,kamphaeng_saen_airport,kamphaeng_saen__thailand
KDU,OPSD,skardu_airport,skardu__pakistan
KDV,NFKD,vunisea_airport,vunisea__kadavu_island__fiji
KDW,,victoria_reservoir_seaplane_base[dapi],kandy__sri_lanka
KDX,HSLI,kadugli_airport[dapi],kaduqli_(kadugli)__sudan
KDY,UEMH,teply_klyuch_airport,khandyga__yakutia__russia
KDZ,,polgolla_reservoir_seaplane_base[dapi],kandy__sri_lanka
KEA,UTAE,kerki_airport,kerki___turkmenistan
KEB,,nanwalek_airport,nanwalek__alaska__united_states
KEC,FZQG,kasenga_airport,kasenga__democratic_republic_of_the_congo
KED,GQNK,kaédi_airport,kaédi__mauritania
KEE,FCOK,kelle_airport,kellé__republic_of_the_congo
KEF,BIKF,keflavík_international_airport,reykjavík__iceland
KEG,AYLG,keglsugl_airport,keglsugl__papua_new_guinea
KEH,,kenmore_air_harbor_(faa:_sdapidapi),kenmore__washington__united_states
KEI,WAKP,kepi_airport,kepi__indonesia
KEJ,UNEE,kemerovo_international_airport,kemerovo__kemerovo_oblast__russia
KEK,,ekwok_airport,ekwok__alaska__united_states
KEL,EDHK,kiel_airport,kiel__schleswig-holstein__germany
KEM,EFKE,kemi-tornio_airport,kemi_/_tornio__finland
KEN,GFKE,kenema_airport,kenema__sierra_leone
KEO,DIOD,odienné_airport,odienné__ivory_coast
KEP,VNNG,nepalgunj_airport,nepalgunj__nepal
KEQ,WASE,kebar_airport,kebar__indonesia
