iata,icao,airport_name,location_served
LAA,KLAA,lamar_municipal_airport,lamar__colorado__united_states
LAB,,lab_lab_airport,lab_lab__papua_new_guinea
LAC,,layang-layang_airport_(swallow_reef_airport),layang-layang_island__sabah__malaysia
LAD,FNLU,quatro_de_fevereiro_airport,luanda__angola
LAE,AYNZ,lae_nadzab_airport,lae__papua_new_guinea
LAF,KLAF,purdue_university_airport,lafayette__indiana__united_states
LAH,WAPH[DAPI],oesman_sadik_airport,labuha__indonesia
LAI,LFRO,lannion_–_côte_de_granit_airport,lannion__brittany__france
LAJ,SBLJ,antônio_correia_pinto_de_macedo_airport,lages__santa_catarina__brazil
LAK,CYKD,aklavik/freddie_carmichael_airport,aklavik__northwest_territories__canada
LAL,KLAL,lakeland_linder_international_airport,lakeland__florida__united_states
LAM,KLAM,los_alamos_county_airport,los_alamos__new_mexico__united_states
LAN,KLAN,capital_region_international_airport,lansing__michigan__united_states
LAO,RPLI,laoag_international_airport,laoag__philippines
LAP,MMLP,manuel_márquez_de_león_international_airport,la_paz__baja_california_sur__mexico
LAQ,HLLQ,al_abraq_international_airport,bayda__libya
LAR,KLAR,laramie_regional_airport,laramie__wyoming__united_states
LAS,KLAS,mccarran_international_airport,las_vegas__nevada__united_states
LAU,HKLU,manda_airport,lamu__kenya
LAW,KLAW,lawton–fort_sill_regional_airport,lawton__oklahoma__united_states
LAX,KLAX,los_angeles_international_airport,los_angeles__california__united_states
LAY,FALY,ladysmith_airport,ladysmith__south_africa
LAZ,SBLP,bom_jesus_da_lapa_airport,bom_jesus_da_lapa__bahia__brazil
LBA,EGNM,leeds_bradford_airport,leeds_/_bradford__england__united_kingdom
LBB,KLBB,lubbock_preston_smith_international_airport,lubbock__texas__united_states
LBC,EDHL,lübeck_airport,lübeck__schleswig-holstein__germany
LBD,UTDL,khujand_airport,khujand__tajikistan
LBE,KLBE,arnold_palmer_regional_airport,latrobe__pennsylvania__united_states
LBF,KLBF,north_platte_regional_airport_(lee_bird_field),north_platte__nebraska__united_states
LBG,LFPB,paris–le_bourget_airport,paris__île-de-france__france
LBH,,palm_beach_water_airport,palm_beach__new_south_wales__australia
LBI,LFCI,le_sequestre_airport,albi__midi-pyrénées__france
LBJ,WATO,komodo_airport,labuan_bajo__indonesia
LBK,,liboi_airport,liboi__kenya
LBL,KLBL,liberal_mid-america_regional_airport,liberal__kansas__united_states
LBM,,luabo_airport,luabo__mozambique
LBN,,lake_baringo_airport,lake_baringo__kenya
LBO,FZVI,lusambo_airport,lusambo__democratic_republic_of_the_congo
LBP,,long_banga_airport,long_banga__sarawak__malaysia
LBQ,FOGR,lambaréné_airport,lambaréné__gabon
LBR,SWLB,lábrea_airport,lábrea__amazonas__brazil
LBS,NFNL,labasa_airport,labasa__fiji
LBT,KLBT,lumberton_municipal_airport,lumberton__north_carolina__united_states
LBU,WBKL,labuan_airport,labuan__malaysia
LBV,FOOL,libreville_international_airport,libreville__gabon
LBW,WRLB,juvai_semaring_airport_(long_bawan_airport),long_bawan__indonesia
LBX,RPLU,lubang_airport,lubang__philippines
LBY,LFRE,la_baule-escoublac_airport,la_baule-escoublac__pays_de_la_loire__france
