iata,icao,airport_name,location_served
MAA,VOMM,chennai_international_airport,chennai__tamil_nadu__india
MAB,SBMA,joão_correa_da_rocha_airport,marabá__pará__brazil
MAC,KMAC,macon_downtown_airport,macon__georgia__united_states
MAD,LEMD,adolfo_suárez_madrid–barajas_airport,madrid__spain
MAE,KMAE,madera_municipal_airport,madera__california__united_states
MAF,KMAF,midland_international_air_and_space_port,midland__texas__united_states
MAG,AYMD,madang_airport,madang__papua_new_guinea
MAH,LEMH,menorca_airport_(mahón_airport),menorca__balearic_islands__spain
MAI,FWMG,mangochi_airport,mangochi__malawi
MAJ,PKMJ,marshall_islands_international_airport_(amata_kabua_int'l),majuro__marshall_islands
MAK,HSSM,malakal_airport,malakal__south_sudan
MAL,WAPE,mangole_airport,mangole_island__indonesia
MAM,MMMA,general_servando_canales_international_airport,matamoros__tamaulipas__mexico
MAN,EGCC,manchester_airport,manchester__england__united_kingdom
MAO,SBEG,eduardo_gomes_international_airport,manaus__amazonas__brazil
MAP,,mamai_airport,mamai__papua_new_guinea
MAQ,VTPM,mae_sot_airport,mae_sot__thailand
MAR,SVMC,la_chinita_international_airport,maracaibo__venezuela
MAS,AYMO,momote_airport,manus_island__papua_new_guinea
MAT,FZAM,matadi_tshimpi_airport,matadi__democratic_republic_of_the_congo
MAU,NTTP,maupiti_airport,maupiti__leeward_islands__french_polynesia
MAV,,maloelap_airport_(faa:_dapindapi),taroa_island__maloelap_atoll__marshall_islands
MAW,KMAW,malden_regional_airport,malden__missouri__united_states
MAX,GOSM,ouro_sogui_airport,matam__senegal
MAY,MYAB,clarence_a._bain_airport,mangrove_cay__andros_island__bahamas
MAZ,TJMZ,eugenio_maría_de_hostos_airport,mayagüez__puerto_rico__united_states
MBA,HKMO,moi_international_airport,mombasa__kenya
MBB,YMBL,marble_bar_airport,marble_bar__western_australia__australia
MBC,FOGG,mbigou_airport,mbigou__gabon
MBD,FAMM,mahikeng_airport_(mmabatho_airport),mmabatho__south_africa
MBE,RJEB,monbetsu_airport,monbetsu__hokkaido__hokkaido__japan
MBF,YPOK,porepunkah_airfield,mount_buffalo__victoria__australia
MBG,KMBG,mobridge_municipal_airport,mobridge__south_dakota__united_states
MBH,YMYB,maryborough_airport,maryborough__queensland__australia
MBI,HTMB,mbeya_airport,mbeya__tanzania
MBJ,MKJS,sangster_international_airport,montego_bay__jamaica
MBK,SWXM,orlando_villas-bôas_regional_airport,matupá__mato_grosso__brazil
MBL,KMBL,manistee_county_blacker_airport,manistee__michigan__united_states
MBM,,mkambati_airport[dapi],mkambati__south_africa
MBN,,mount_barnett_airport,mount_barnett__western_australia__australia
MBO,RPUM,mamburao_airport,mamburao__philippines
MBP,SPBB,moyobamba_airport,moyobamba__peru
MBQ,HUMA,mbarara_airport,mbarara__uganda
MBR,GQNU,m'bout_airport,m'bout__mauritania
MBS,KMBS,mbs_international_airport,saginaw_/_midland_/_bay_city__michigan__united_states
MBT,RPVJ,moises_r._espinosa_airport_(masbate_airport),masbate__philippines
MBU,AGGI,mbambanakira_airport,mbambanakira__solomon_islands
MBV,,masa_airport,masa__papua_new_guinea
MBW,YMMB,moorabbin_airport,melbourne__victoria__australia
MBX,LJMB,maribor_edvard_rusjan_airport,maribor__slovenia
MBY,KMBY,omar_n._bradley_airport,moberly__missouri__united_states
MBZ,SWMW,maués_airport,maués__amazonas__brazil
MCA,GUMA,macenta_airport,macenta__guinea
MCB,KMCB,mccomb–pike_county_airport_(john_e._lewis_field),mccomb__mississippi__united_states
MCC,KMCC,mcclellan_airfield,sacramento__california__united_states
MCD,KMCD,mackinac_island_airport,mackinac_island__michigan__united_states
MCE,KMCE,merced_regional_airport_(macready_field),merced__california__united_states
MCF,KMCF,macdill_air_force_base,tampa__florida__united_states
MCG,PAMC,mcgrath_airport,mcgrath__alaska__united_states
MCH,SEMH,general_manuel_serrano_airport,machala__ecuador
MCI,KMCI,kansas_city_international_airport,kansas_city__missouri__united_states
