iata,icao,airport_name,location_served
NAA,YNBR,narrabri_airport[dapi],narrabri__new_south_wales__australia
NAC,YNRC,naracoorte_airport[dapi],naracoorte__south_australia__australia
NAD,,macanal_airport[dapi],macanal__colombia
NAE,DBBN,boundétingou_airport,natitingou__benin
NAF,,banaina_airport[dapi],banaina__indonesia
NAG,VANP,dr._babasaheb_ambedkar_international_airport,nagpur__maharashtra__india
NAH,WAMH,naha_airport,tahuna__indonesia
NAI,SYAN,annai_airport,annai__guyana
NAJ,UBBN,nakhchivan_international_airport,nakhchivan__azerbaijan
NAK,VTUQ,nakhon_ratchasima_airport,nakhon_ratchasima__thailand
NAL,URMN,nalchik_airport,nalchik__kabardino-balkaria__russia
NAM,WAPR,namlea_airport[dapi],namlea__indonesia
NAN,NFFN,nadi_international_airport,nadi__fiji
NAO,ZUNC,nanchong_gaoping_airport,nanchong__sichuan__china
NAP,LIRN,naples_international_airport,naples__campania__italy
NAQ,BGQQ,qaanaaq_airport[dapi],qaanaaq__greenland
NAR,SKPN,puerto_nare_airport[dapi],puerto_nare__colombia
NAS,MYNN,lynden_pindling_international_airport,nassau__new_providence__bahamas
NAT,SBNT,são_gonçalo_do_amarante–governador_aluízio_alves_international_airport,natal__rio_grande_do_norte__brazil
NAU,NTGN,napuka_airport[dapi],napuka__tuamotus__french_polynesia
NAV,LTAZ,nevşehir_kapadokya_airport,nevşehir__turkey
NAW,VTSC,narathiwat_airport[dapi],narathiwat__thailand
NAY,ZBNY,beijing_nanyuan_airport,beijing__china
NAZ,AGNA,nana_airport[dapi],star_harbour__solomon_islands
NBA,,nambaiyufa_airport[dapi],nambaiyufa__papua_new_guinea
NBB,SKBM,barranco_minas_airport[dapi],barranco_minas__colombia
NBC,UWKE,begishevo_airport,nizhnekamsk_/_naberezhnye_chelny__tatarstan__russia
NBE,DTNH,enfidha-hammamet_international_airport,enfidha__tunisia
NBG,KNBG,nas_jrb_new_orleans_(alvin_callender_field),new_orleans__louisiana__united_states
NBH,YNHS,nambucca_heads_airport[dapi],nambucca_heads__new_south_wales__australia
NBL,MPWN,wannukandi_airport[dapi],san_blas__panama
NBN,FGAB,annobón_airport,annobón__equatorial_guinea
NBO,HKJK,jomo_kenyatta_international_airport,nairobi__kenya
NBS,ZYBS,changbaishan_airport,baishan__jilin__china
NBW,KNBW,leeward_point_field,guantánamo_bay__cuba
NBX,WABI,nabire_airport,nabire__indonesia
NCA,MBNC,north_caicos_airport,"north_caicos__british_overseas_territory
of_turks_and_caicos_islands"
NCE,LFMN,nice_côte_d'azur_airport,nice__provence-alpes-côte_d'azur__france
NCG,MMCG,nuevo_casas_grandes_municipal_airport,nuevo_casas_grandes__chihuahua__mexico
NCH,HTNA,nachingwea_airport[dapi],nachingwea__tanzania
NCI,SKNC,antioquia_airport[dapi],necoclí__colombia
NCJ,SAFS,sunchales_aeroclub_airport[dapi],sunchales__santa_fe__argentina
NCL,EGNT,newcastle_airport,newcastle_upon_tyne__england__united_kingdom
NCN,PFCB,chenega_bay_airport_(faa:_cdapidapi),chenega__alaska__united_states
NCO,KOQU,quonset_state_airport[dapi]_(faa:_oqu),north_kingstown__rhode_island__united_states
NCR,MNSC,san_carlos_airport[dapi],san_carlos__nicaragua
NCS,FANC,newcastle_airport[dapi],newcastle__south_africa
NCT,MRNC,nicoya_guanacaste_airport[dapi],nicoya__costa_rica
NCU,UTNN,nukus_airport,nukus__uzbekistan
NCY,LFLP,annecy_–_haute-savoie_–_mont_blanc_airport,annecy__rhône-alpes__france
NDA,WAPC,bandanaira_airport[dapi],banda_islands__indonesia
NDB,GQPP,nouadhibou_international_airport,nouadhibou__mauritania
NDC,VAND,shri_guru_gobind_singh_ji_airport,nanded__maharashtra__india
NDD,FNSU,sumbe_airport[dapi],sumbe__angola
NDE,HKMA,mandera_airport[dapi],mandera__kenya
NDF,,n'dalatando_airport[dapi],n'dalatando__angola
NDG,ZYQQ,qiqihar_sanjiazi_airport[dapi],qiqihar__heilongjiang__china
NDI,,namudi_airport[dapi],namudi__papua_new_guinea
NDJ,FTTJ,n'djamena_international_airport,n'djamena__chad
NDK,,namorik_airport_(namdrik_airport)_(faa:_dapindapi),namdrik_atoll__marshall_islands
