iata,icao,airport_name,location_served
OAA,OASH,forward_operating_base_shank,gardez__afghanistan
OAG,YORG,orange_airport[dapi],orange__new_south_wales__australia
OAH,OASD,shindand_air_base,shindand__afghanistan
OAI,OAIX,bagram_airfield,bagram__afghanistan
OAJ,KOAJ,albert_j._ellis_airport,jacksonville__north_carolina__united_states
OAK,KOAK,oakland_international_airport,oakland__california__united_states
OAL,SSKW,capital_do_café_airport[dapi],cacoal__rondônia__brazil
OAM,NZOU,oamaru_airport,oamaru__new_zealand
OAN,MHEA,el_arrayán_airport[dapi],olanchito__honduras
OAR,KOAR,marina_municipal_airport,monterey_/_marina__california__united_states
OAS,OASA,sharana_airstrip_/_forward_operating_base_sharana,sharana__afghanistan
OAX,MMOX,xoxocotlán_international_airport,oaxaca_de_juárez__oaxaca__mexico
OAZ,OAZI,camp_bastion_air_base,girishk_(gereshk)__afghanistan
OBA,,oban_airport[dapi],oban__queensland__australia
OBC,HDOB,obock_airport,obock__djibouti
OBD,,obano_airport,obano__indonesia
OBE,KOBE,okeechobee_county_airport,okeechobee__florida__united_states
OBF,EDMO,oberpfaffenhofen_airport,oberpfaffenhofen__bavaria__germany
OBI,SBTI,óbidos_airport[dapi],óbidos__pará__brazil
OBL,EBZR,oostmalle_airfield,zoersel__belgium
OBM,,morobe_airport[dapi],morobe__papua_new_guinea
OBN,EGEO,oban_airport[dapi]_(north_connel_airport),oban__scotland__united_kingdom
OBO,RJCB,tokachi–obihiro_airport,obihiro__hokkaido__japan
OBS,LFHO,aubenas_aerodrome[dapi]_(ardèche_méridionale_aerodrome),aubenas__rhône-alpes__france
OBU,PAOB,kobuk_airport,kobuk__alaska__united_states
OBX,AYOB,obo_airport,obo__papua_new_guinea
OCA,,ocean_reef_club_airport_(faa:_dapidapifa),key_largo__florida__united_states
OCC,SECO,francisco_de_orellana_airport,puerto_francisco_de_orellana_(coca)__ecuador
OCE,KOXB,ocean_city_municipal_airport,ocean_city__maryland__united_states
OCF,KOCF,ocala_international_airport_(jim_taylor_field),ocala__florida__united_states
OCH,KOCH,a.l._mangham_jr._regional_airport,nacogdoches__texas__united_states
OCJ,MKBS,ian_fleming_international_airport,ocho_rios__jamaica
OCM,YBGD,boolgeeda_airport[dapi],boolgeeda__western_australia__australia
OCN,KOKB,oceanside_municipal_airport_(faa:_okb),oceanside__california__united_states
OCS,,corisco_international_airport[dapi],corisco_island__equatorial_guinea
OCV,SKOC,aguas_claras_airport[dapi],ocaña__colombia
OCW,KOCW,washington–warren_airport_(warren_field),washington__north_carolina__united_states
ODA,FEFW,ouadda_airport[dapi],ouadda__central_african_republic
ODB,LEBA,córdoba_airport,córdoba__andalusia__spain
ODC,,oakdale_airport[dapi]_(faa:_odapidapi),oakdale__california__united_states
ODD,YOOD,oodnadatta_airport[dapi],oodnadatta__south_australia__australia
ODE,EKOD,hans_christian_andersen_airport,odense__denmark
ODH,EGVO,raf_odiham,odiham__england__united_kingdom
ODJ,FEGO,ouanda_djallé_airport[dapi],ouanda_djallé__central_african_republic
ODL,,cordillo_downs_airport[dapi],cordillo_downs__south_australia__australia
ODM,,garrett_county_airport[dapi]_(faa:_dapigdapi),oakland__maryland__united_states
ODN,WBGI,long_seridan_airport[dapi],long_seridan__sarawak__malaysia
ODO,UIKB,bodaybo_airport[dapi],bodaybo__irkutsk_oblast__russia
ODR,YORV,ord_river_airport[dapi],ord_river__western_australia__australia
ODS,UKOO,odesa_international_airport,odesa__ukraine
ODW,KOKH,a.j._eisenberg_airport_(faa:_okh),oak_harbor__washington__united_states
ODY,VLOS,oudomsay_airport,muang_xay_(oudomxai)__laos
OEC,WPOC,oecusse_airport,oecussi__east_timor
OEL,UUOR,oryol_yuzhny_airport,oryol_(orel)__oryol_oblast__russia
OEM,SMPA,vincent_fayks_airport,paloemeu__suriname
OEO,KOEO,l.o._simenstad_municipal_airport,osceola__wisconsin__united_states
OER,ESNO,örnsköldsvik_airport,örnsköldsvik__sweden
OES,SAVN,antoine_de_saint_exupéry_airport,san_antonio_oeste__río_negro__argentina
OFF,KOFF,offutt_air_force_base,omaha__nebraska__united_states
OFI,DIOF,ouango_fitini_airport[dapi],ouango_fitini__ivory_coast
OFJ,BIOF,ólafsfjörður_airport[dapi],ólafsfjörður__iceland
OFK,KOFK,norfolk_regional_airport_(karl_stefan_memorial_field),norfolk__nebraska__united_states
OFU,NSAS,ofu_airport_(faa:_zdapidapi),ofu_island__american_samoa
OGA,KOGA,searle_field,ogallala__nebraska__united_states
OGB,KOGB,orangeburg_municipal_airport,orangeburg__south_carolina__united_states
OGD,KOGD,ogden-hinckley_airport,ogden__utah__united_states
OGE,,ogeramnang_airport[dapi],ogeramnang__papua_new_guinea
OGG,PHOG,kahului_airport,kahului__hawaii__united_states
OGL,SYGO,ogle_airport,georgetown__guyana
OGM,,ustupu-ogobsucum_airport[dapi],ustupo__panama
OGN,ROYN,yonaguni_airport,yonaguni__yaeyama_islands__japan
OGO,DIAU,abengourou_airport[dapi],abengourou__ivory_coast
OGR,FTTB,bongor_airport,bongor__chad
OGS,KOGS,ogdensburg_international_airport,ogdensburg__new_york__united_states
OGU,LTCB,ordu–giresun_airport,ordu_/_giresun__turkey
OGV,FYNG,ongava_airstrip[dapi],ongava__namibia
