iata,icao,airport_name,location_served
PAA,VYPA,hpa-an_airport[dapi],hpa-an__myanmar
PAB,VEBU,bilaspur_airport,bilaspur__chhattisgarh__india
PAC,MPMG,"albrook_""marcos_a._gelabert""_international_airport",panama_city__panama
PAD,EDLP,paderborn_lippstadt_airport,paderborn_/_lippstadt__north_rhine-westphalia__germany
PAE,KPAE,paine_field_(snohomish_county_airport),everett__washington__united_states
PAF,HUPA,pakuba_airfield,pakuba__uganda
PAG,RPMP,pagadian_airport,pagadian__philippines
PAH,KPAH,barkley_regional_airport,paducah__kentucky__united_states
PAJ,OPPC,parachinar_airport[dapi],parachinar__pakistan
PAK,PHPA,port_allen_airport,hanapepe__hawaii__united_states
PAL,SKPQ,captain_germán_olano_moreno_air_base[dapi],palanquero__colombia
PAM,KPAM,tyndall_air_force_base,panama_city__florida__united_states
PAN,VTSK,pattani_airport,pattani__thailand
PAO,KPAO,palo_alto_airport_(santa_clara_county_airport),palo_alto__california__united_states
PAP,MTPP,toussaint_l'ouverture_international_airport,port-au-prince__haiti
PAQ,PAAQ,palmer_municipal_airport,palmer__alaska__united_states
PAR[DAPI],,metropolitan_areadapi,paris__île-de-france__france
PAS,LGPA,paros_national_airport,paros__greece
PAT,VEPT,lok_nayak_jayaprakash_airport,patna__bihar__india
PAU,VYPK,pauk_airport[dapi],pauk__myanmar
PAV,SBUF,paulo_afonso_airport[dapi],paulo_afonso__bahia__brazil
PAW,,pambwa_airport[dapi],pambwa__papua_new_guinea
PAX,MTPX,port-de-paix_airport[dapi],port-de-paix__haiti
PAY,WBKP,pamol_airport[dapi],pamol__sabah__malaysia
PAZ,MMPA,el_tajín_national_airport,poza_rica__veracruz__mexico
PBB,SSPN,paranaíba_airport[dapi],paranaíba__mato_grosso_do_sul__brazil
PBC,MMPB,hermanos_serdán_international_airport,puebla_city__puebla__mexico
PBD,VAPR,porbandar_airport[dapi],porbandar__gujarat__india
PBE,SKPR,morela_airport[dapi]_(puerto_berrío_airport),puerto_berrío__colombia
PBF,KPBF,grider_field,pine_bluff__arkansas__united_states
PBG,KPBG,plattsburgh_international_airport,plattsburgh__new_york__united_states
PBH,VQPR,paro_international_airport,paro__bhutan
PBI,KPBI,palm_beach_international_airport,west_palm_beach__florida__united_states
PBJ,NVSI,paama_airport[dapi],paama__vanuatu
PBL,SVPC,bartolomé_salom_airport[dapi],puerto_cabello__venezuela
PBM,SMJP,johan_adolf_pengel_international_airport,paramaribo__suriname
PBN,FNPA,porto_amboim_airport[dapi],porto_amboim__angola
PBO,YPBO,paraburdoo_airport,paraburdoo__western_australia__australia
PBP,MRIA,punta_islita_airport,punta_islita__costa_rica
PBQ,SWPM,pimenta_bueno_airport[dapi],pimenta_bueno__rondônia__brazil
PBR,MGPB,puerto_barrios_airport[dapi],puerto_barrios__guatemala
PBT,,puerto_leda_airport[dapi],puerto_leda__paraguay
PBU,VYPT,putao_airport[dapi],putao__myanmar
PBV,SWPG,porto_dos_gaúchos_airport,porto_dos_gaúchos__mato_grosso__brazil
PBX,SWPQ,fazenda_piraguassu_airport,porto_alegre_do_norte__mato_grosso__brazil
PBZ,FAPG,plettenberg_bay_airport[dapi],plettenberg_bay__south_africa
PCA,PAOC,portage_creek_airport_(faa:_adapidapi),portage_creek__alaska__united_states
PCB,WIHP,pondok_cabe_airport[dapi],south_tangerang__indonesia
PCC,,puerto_rico_airport[dapi],puerto_rico__colombia
PCD,KPDC,prairie_du_chien_municipal_airport_(faa:_pdc),prairie_du_chien__wisconsin__united_states
PCF,FAPS,potchefstroom_airport[dapi],potchefstroom__south_africa
