iata,icao,airport_name,location_served
QAQ,LIAP,l'aquila–preturo_airport[dapi],l'aquila__abruzzo__italy
QBC,CYBD,bella_coola_airport,bella_coola__british_columbia__canada
QCY,EGXC,raf_coningsby,coningsby__england__united_kingdom
QHU,EDXJ,husum_schwesing_airport[dapi],husum__schleswig-holstein__germany
QLR,LPMR,monte_real_air_base,monte_real__portugal
QOW,DNIM,sam_mbakwe_airport,owerri__nigeria
QPG,WSAP,paya_lebar_air_base,singapore
QRA,FAGM,rand_airport,johannesburg__south_africa
QRC,SCRG,rancagua_de_la_independencia_airport,rancagua__chile
QRO,MMQT,querétaro_intercontinental_airport,querétaro_city__querétaro__mexico
QRW,DNSU,warri_airport_(osubi_airport),warri__nigeria
QSC,SDSC,mário_pereira_lopes_airport,são_carlos__são_paulo__brazil
QSF,DAAS,ain_arnat_airport,sétif__algeria
QSR,LIRI,salerno_costa_d'amalfi_airport_(pontecagnano_airport),salerno__campania__italy
QSZ,,shache_airport,shache__xinjiang__china
QUB,HLUB,ubari_airport[dapi],ubari__libya
QUG,EGHR,chichester/goodwood_airport,chichester__england__united_kingdom
QUO,DNAI,akwa_ibom_international_airport,uyo__nigeria
QUY,EGUY,raf_wyton[dapi],wyton__england__united_kingdom
QWG,,wilgrove_air_park_(faa:_dapiadapi),charlotte__north_carolina__united_states
