iata,icao,airport_name,location_served
RAA,,rakanda_airport[dapi],rakanda__papua_new_guinea
RAB,AYTK,rabaul_airport_(tokua_airport),rabaul__papua_new_guinea
RAC,KRAC,john_h._batten_airport,racine__wisconsin__united_states
RAD,,road_town_seaplane_base[dapi],tortola__british_overseas_territory_of_virgin_islands
RAE,OERR,arar_domestic_airport,arar__saudi_arabia
RAF,SAFR,rafaela_airport[dapi],rafaela__santa_fe__argentina
RAG,NZRA,raglan_aerodrome[dapi],raglan__new_zealand
RAH,OERF,rafha_domestic_airport[dapi],rafha__saudi_arabia
RAI,GVNP,nelson_mandela_international_airport,praia__cape_verde
RAJ,VARK,rajkot_airport,rajkot__gujarat__india
RAK,GMMX,marrakesh_menara_airport,marrakesh__morocco
RAL,KRAL,riverside_municipal_airport,riverside__california__united_states
RAM,YRNG,ramingining_airport[dapi],ramingining__northern_territory__australia
RAN,LIDR,ravenna_airport[dapi],ravenna__emilia-romagna__italy
RAO,SBRP,leite_lopes_airport,ribeirão_preto__são_paulo__brazil
RAP,KRAP,rapid_city_regional_airport,rapid_city__south_dakota__united_states
RAQ,WAWR,sugimanuru_airport[dapi],muna_island__indonesia
RAR,NCRG,rarotonga_international_airport,avarua__rarotonga__cook_islands
RAS,OIGG,rasht_airport[dapi],rasht__iran
RAT,USNR,raduzhny_airport,raduzhny__khanty-mansi_autonomous_okrug__russia
RAV,SKCN,cravo_norte_airport[dapi],cravo_norte__colombia
RAW,,arawa_airport[dapi],arawa__papua_new_guinea
RAX,,oram_airport[dapi],oram__papua_new_guinea
RAZ,OPRT,rawalakot_airport[dapi],rawalakot__pakistan
RBA,GMME,rabat–salé_airport,rabat__morocco
RBB,SWBR,borba_airport,borba__amazonas__brazil
RBC,YROI,robinvale_airport,robinvale__victoria__australia
RBD,KRBD,dallas_executive_airport,dallas__texas__united_states
RBE,VDRK,ratanakiri_airport,ratanakiri__cambodia
RBF,,big_bear_city_airport[dapi]_(faa:_ldapidapi),big_bear_city__california__united_states
RBG,KRBG,roseburg_regional_airport,roseburg__oregon__united_states
RBI,NFFR,rabi_airport[dapi],rabi_island__fiji
RBJ,RJCR,rebun_airport[dapi],rebun__rebun_island__japan
RBK,,french_valley_airport[dapi]_(faa:_fdapidapi),murrieta_/_temecula__california__united_states
RBL,KRBL,red_bluff_municipal_airport,red_bluff__california__united_states
RBM,EDMS,straubing_wallmühle_airport,straubing__bavaria__germany
RBO,SLRB,roboré_airport[dapi],roboré__bolivia
RBP,,rabaraba_airport[dapi],rabaraba__papua_new_guinea
RBQ,SLRQ,rurrenabaque_airport,rurrenabaque__bolivia
RBR,SBRB,plácido_de_castro_international_airport,rio_branco__acre__brazil
RBS,YORB,orbost_airport[dapi],orbost__victoria__australia
RBT,HKMB,marsabit_airport[dapi],marsabit__kenya
RBU,YROE,roebourne_airport[dapi],roebourne__western_australia__australia
RBV,AGRM,ramata_airport[dapi],ramata_island__solomon_islands
RBW,KRBW,lowcountry_regional_airport,walterboro__south_carolina__united_states
RBX,HSMK,rumbek_airport[dapi],rumbek__south_sudan
RBY,PARY,ruby_airport,ruby__alaska__united_states
RCA,KRCA,ellsworth_air_force_base,rapid_city__south_dakota__united_states
RCB,FARB,richards_bay_airport,richards_bay__south_africa
RCE,,roche_harbor_seaplane_base,roche_harbor__washington__united_states
RCH,SKRH,almirante_padilla_airport,riohacha__colombia
