iata,icao,airport_name,location_served
SAA,KSAA,shively_field,saratoga__wyoming__united_states
SAB,TNCS,juancho_e._yrausquin_airport,saba__caribbean_netherlands
SAC,KSAC,sacramento_executive_airport,sacramento__california__united_states
SAD,KSAD,safford_regional_airport,safford__arizona__united_states
SAF,KSAF,santa_fe_municipal_airport,santa_fe__new_mexico__united_states
SAG,,shirdi_airport,shirdi__maharashtra__india
SAH,OYSN,sana'a_international_airport_(el_rahaba_airport),sana'a__yemen
SAK,BIKR,sauðárkrókur_airport,sauðárkrókur__iceland
SAL,MSLP,monseñor_óscar_arnulfo_romero_international_airport,san_salvador__el_salvador
SAM,,salamo_airport[dapi],salamo__papua_new_guinea
SAN,KSAN,san_diego_international_airport,san_diego__california__united_states
SAO[DAPI],,metropolitan_areadapi,são_paulo__são_paulo__brazil
SAP,MHLM,ramón_villeda_morales_international_airport,san_pedro_sula__honduras
SAQ,MYAN,san_andros_airport[dapi],nicholls_town__andros_island__bahamas
SAR,KSAR,sparta_community_airport_(hunter_field),sparta__illinois__united_states
SAS,KSAS,salton_sea_airport,salton_city__california__united_states
SAT,KSAT,san_antonio_international_airport,san_antonio__texas__united_states
SAU,WATS,tardamu_airport,savu_(sawu)__indonesia
SAV,KSAV,savannah/hilton_head_international_airport,savannah__georgia__united_states
SAW,LTFJ,sabiha_gökçen_international_airport,istanbul__turkey
SAX,,sambú_airport[dapi],sambú__panama
SAY,LIQS,siena–ampugnano_airport,siena__tuscany__italy
SAZ,GLST,sasstown_airport,sasstown__liberia
SBA,KSBA,santa_barbara_municipal_airport,santa_barbara__california__united_states
SBB,SVSB,santa_bárbara_de_barinas_airport[dapi],santa_bárbara__venezuela
SBC,AYSO,selbang_airport[dapi],selbang__papua_new_guinea
SBD,KSBD,san_bernardino_international_airport,san_bernardino__california__united_states
SBE,AYSA,suabi_airport[dapi],suabi__papua_new_guinea
SBF,OADS,sardeh_band_airport,band-e_sardeh_dam__afghanistan
SBG,WITN,maimun_saleh_airport[dapi],sabang__indonesia
SBH,TFFJ,gustaf_iii_airport,gustavia__saint_barthélemy
SBI,GUSB,sambailo_airport,koundara__guinea
SBJ,SNMX,são_mateus_airport[dapi],são_mateus__espírito_santo__brazil
SBK,LFRT,saint-brieuc_–_armor_airport,saint-brieuc__brittany__france
SBL,SLSA,santa_ana_del_yacuma_airport,santa_ana_del_yacuma__bolivia
SBM,KSBM,sheboygan_county_memorial_airport,sheboygan__wisconsin__united_states
SBN,KSBN,south_bend_international_airport,south_bend__indiana__united_states
SBO,,salina-gunnison_airport[dapi]_(faa:_dapidapiu),salina_/_gunnison__utah__united_states
SBP,KSBP,san_luis_obispo_county_regional_airport_(mcchesney_field),san_luis_obispo__california__united_states
SBQ,OPSB,sibi_airport[dapi],sibi__pakistan
SBR,YSII,saibai_island_airport[dapi],saibai_island__queensland__australia
SBS,KSBS,steamboat_springs_airport_(bob_adams_field),steamboat_springs__colorado__united_states
SBT,USDA,sabetta_international_airport[dapi],sabetta__yamalo-nenets_autonomous_okrug__russia
SBU,FASB,springbok_airport,springbok__south_africa
SBV,AYSH,sabah_airport[dapi],sabah__papua_new_guinea
SBW,WBGS,sibu_airport,sibu__sarawak__malaysia
SBX,KSBX,shelby_airport,shelby__montana__united_states
SBY,KSBY,salisbury–ocean_city–wicomico_regional_airport,salisbury_/_ocean_city__maryland__united_states
SBZ,LRSB,sibiu_international_airport,sibiu__romania
SCA,,santa_catalina_airport[dapi],santa_catalina__colombia
SCB,KSCB,scribner_state_airport,scribner__nebraska__united_states
SCC,PASC,deadhorse_airport,prudhoe_bay_/_deadhorse__alaska__united_states
SCD,MHUL,sulaco_airport,sulaco__honduras
SCE,KUNV,university_park_airport_(faa:_unv),state_college__pennsylvania__united_states
SCF,KSDL,scottsdale_airport_(faa:_sdl),phoenix_/_scottsdale__arizona__united_states
SCG,YSPK,spring_creek_airport[dapi],conjuboy__queensland__australia
SCH,KSCH,schenectady_county_airport,schenectady__new_york__united_states
SCI,SVPM,paramillo_airport[dapi],san_cristóbal__venezuela
SCK,KSCK,stockton_metropolitan_airport,stockton__california__united_states
SCL,SCEL,comodoro_arturo_merino_benítez_international_airport,santiago__chile
SCM,PACM,scammon_bay_airport,scammon_bay__alaska__united_states
SCN,EDDR,saarbrücken_airport,saarbrücken__saarland__germany
SCO,UATE,aktau_airport,aktau__kazakhstan
SCP,LFNC,mont-dauphin_-_saint-crépin_airport[dapi],mont-dauphin__provence-alpes-côte_d'azur__france
SCQ,LEST,santiago_de_compostela_airport,santiago_de_compostela__galicia__spain
SCR,,scandinavian_mountains_airport,malung-sälen__sweden
SCS,EGPM,scatsta_airport,shetland_islands__scotland__united_kingdom
SCT,OYSQ,socotra_airport[dapi],socotra__yemen
SCU,MUCU,antonio_maceo_international_airport,santiago_de_cuba__cuba
SCV,LRSV,suceava_international_airport_(ștefan_cel_mare_int'l),
