iata,icao,airport_name,location_served
TAA,,tarapaina_airport[dapi],tarapaina__solomon_islands
TAB,TTCP,arthur_napoleon_raymond_robinson_international_airport,tobago__trinidad_and_tobago
TAC,RPVA,daniel_z._romualdez_airport,tacloban__philippines
TAD,KTAD,perry_stokes_airport,trinidad__colorado__united_states
TAE,RKTN,daegu_international_airport,daegu__south_korea
TAF,DAOL,oran_tafaraoui_airport,oran__algeria
TAG,RPSP,bohol–panglao_international_airport,tagbilaran__philippines
TAH,NVVW,whitegrass_airport,tanna_island__vanuatu
TAI,OYTZ,taiz_international_airport,taiz_(ta'izz)__yemen
TAJ,,tadji_airport,aitape__papua_new_guinea
TAK,RJOT,takamatsu_airport,takamatsu__shikoku__japan
TAL,PATA,ralph_m._calhoun_memorial_airport,tanana__alaska__united_states
TAM,MMTM,general_francisco_javier_mina_international_airport,tampico__tamaulipas__mexico
TAN,YTGA,tangalooma_airport,tangalooma__queensland__australia
TAO,ZSQD,qingdao_liuting_international_airport,qingdao__shandong__china
TAP,MMTP,tapachula_international_airport,tapachula__chiapas__mexico
TAQ,,tarcoola_airport[dapi],tarcoola__south_australia__australia
TAR,LIBG,taranto-grottaglie_airport,taranto__apulia__italy
TAS,UTTT,tashkent_international_airport,tashkent__uzbekistan
TAT,LZTT,poprad–tatry_airport,poprad__slovakia
TAU,,tauramena_airport[dapi],tauramena__colombia
TAV,,tau_airport_(faa:_hidapidapi),tau__american_samoa
TAW,SUTB,tacuarembó_airport,tacuarembó__uruguay
TAX,WAPT,taliabu_airport,taliabu__indonesia
TAY,EETU,tartu_airport,tartu__estonia
TAZ,UTAT,daşoguz_airport,daşoguz_(dashoguz)__turkmenistan
TBA,,tabibuga_airport[dapi],tabibuga__papua_new_guinea
TBB,VVTH,dong_tac_airport[dapi],tuy_hòa__vietnam
TBC,,tuba_city_airport[dapi]_(faa:_tdapidapi),tuba_city__arizona__united_states
TBD,SKMB,timbiquí_airport[dapi],timbiquí__colombia
TBE,,timbunke_airport[dapi],timbunke__papua_new_guinea
TBF,NGTE,tabiteuea_north_airport[dapi],tabiteuea_north__kiribati
TBG,AYTB,tabubil_airport[dapi],tabubil__papua_new_guinea
TBH,RPVU,tugdan_airport,tablas_island__philippines
TBI,MYCB,new_bight_airport,new_bight__cat_island__bahamas
TBJ,DTKA,tabarka–aïn_draham_international_airport,tabarka__tunisia
TBK,YTBR,timber_creek_airport[dapi],timber_creek__northern_territory__australia
TBL,YTAB,tableland_homestead_airport[dapi],tableland__western_australia__australia
TBM,WAOW,tumbang_samba_airport[dapi],tumbang_samba__indonesia
TBN,KTBN,waynesville-st._robert_regional_airport_(forney_field),fort_leonard_wood__missouri__united_states
TBO,HTTB,tabora_airport[dapi],tabora__tanzania
TBP,SPME,cap._fap_pedro_canga_rodríguez_airport,tumbes__peru
TBQ,,tarabo_airport[dapi],tarabo__papua_new_guinea
TBR,KTBR,statesboro–bulloch_county_airport,statesboro__georgia__united_states
TBS,UGTB,tbilisi_international_airport,tbilisi
