iata,icao,airport_name,location_served
UAB,LTAG,incirlik_air_base[dapi],adana__turkey
UAC,,san_luis_río_colorado_airport[dapi],san_luis_río_colorado__sonora__mexico
UAE,,mount_aue_airport[dapi],mount_aue__papua_new_guinea
UAH,NTMU,ua_huka_airport[dapi],ua_huka__marquesas_islands__french_polynesia
UAI,WPDB,suai_airport[dapi],suai__east_timor
UAK,BGBW,narsarsuaq_airport,narsarsuaq__greenland
UAL,FNUA,luau_airport,luau__angola
UAM,PGUA,andersen_air_force_base,hagåtña_(agana)__guam
UAP,NTMP,ua_pou_airport[dapi],ua_pou__marquesas_islands__french_polynesia
UAQ,SANU,domingo_faustino_sarmiento_airport,san_juan__san_juan__argentina
UAR,GMFB,bouarfa_airport[dapi],bouarfa__morocco
UAS,HKSB,samburu_airport[dapi]_(buffalo_spring_airport),samburu__kenya
UAX,,uaxactun_airport[dapi],uaxactun__guatemala
UBA,SBUR,mário_de_almeida_franco_airport,uberaba__minas_gerais__brazil
UBB,YMAA,mabuiag_island_airport[dapi],mabuiag_island__queensland__australia
UBI,,buin_airport[dapi],buin__papua_new_guinea
UBJ,RJDC,yamaguchi_ube_airport,ube__honshu__japan
UBP,VTUU,ubon_ratchathani_airport,ubon_ratchathani__thailand
UBR,WAJU,ubrub_airport[dapi],ubrub__indonesia
UBS,KUBS,columbus-lowndes_county_airport,columbus__mississippi__united_states
UBT,SDUB,ubatuba_airport[dapi]_(gastão_madeira_airport),ubatuba__são_paulo__brazil
UBU,YKAL,kalumburu_airport[dapi],kalumburu__western_australia__australia
UCB,,ulanqab_airport[dapi],ulanqab__inner_mongolia__china
UCC,KUCC,yucca_airstrip_(faa:_nvdapidapi),mercury__nevada__united_states
UCE,,eunice_airport_(faa:_dapirdapi),eunice__louisiana__united_states
UCK,UKLC,lutsk_airport[dapi],lutsk__ukraine
UCN,GLBU,buchanan_airport,buchanan__liberia
UCT,UUYH,ukhta_airport,ukhta__komi_republic__russia
UCY,KUCY,everett–stewart_regional_airport,union_city__tennessee__united_states
UDA,YUDA,undara_airport[dapi],undara__queensland__australia
UDD,KUDD,bermuda_dunes_airport,palm_springs__california__united_states
UDE,EHVK,volkel_air_base,uden__netherlands
UDI,SBUL,ten._cel._av._césar_bombonato_airport,uberlândia__minas_gerais__brazil
UDJ,UKLU,uzhhorod_international_airport[dapi],uzhhorod__ukraine
UDN,LIPD,campoformido_airport[dapi],udine__friuli-venezia_giulia__italy
UDR,VAUD,maharana_pratap_airport,udaipur__rajasthan__india
UEE,YQNS,queenstown_airport[dapi],queenstown__tasmania__australia
UEL,FQQL,quelimane_airport,quelimane__mozambique
UEN,USDU,urengoy_airport[dapi],urengoy__yamalo-nenets_autonomous_okrug__russia
UEO,ROKJ,kumejima_airport[dapi],kumejima__okinawa_islands__japan
UES,KUES,waukesha_county_airport_(crites_field),waukesha__wisconsin__united_states
UET,OPQT,quetta_international_airport,quetta__pakistan
UFA,UWUU,ufa_international_airport,ufa__bashkortostan__russia
UGA,ZMBN,bulgan_airport,bulgan__mongolia
UGB,,ugashik_bay_airport,pilot_point__alaska__united_states
UGC,UTNU,urgench_international_airport,urgench__uzbekistan
UGI,,san_juan_(uganik)_seaplane_base_(faa:_wsj),uganik__alaska__united_states
UGL,SCGC,union_glacier_blue-ice_runway,heritage_range__ellsworth_mountains__antarctica
UGN,KUGN,waukegan_national_airport,waukegan__illinois__united_states
UGO,FNUG,uíge_airport[dapi],uíge__angola
