iata,icao,airport_name,location_served
VAA,EFVA,vaasa_airport,vaasa__finland
VAB,,yavarate_airport[dapi],yavarate__colombia
VAC,EDWU,varrelbusch_airport[dapi],cloppenburg__lower_saxony__germany
VAD,KVAD,moody_air_force_base,valdosta__georgia__united_states
VAF,LFLU,valence-chabeuil_airport,valence__rhône-alpes__france
VAG,SBVG,major_brigadeiro_trompowsky_airport,varginha__minas_gerais__brazil
VAH,SLVG,cap._av._vidal_villagomez_toledo_airport[dapi],vallegrande__bolivia
VAI,AYVN,vanimo_airport[dapi],vanimo__papua_new_guinea
VAK,PAVA,chevak_airport,chevak__alaska__united_states
VAL,SNVB,valença_airport[dapi],valença__bahia__brazil
VAM,VRMV,villa_international_airport,maamigili__maldives
VAN,LTCI,van_ferit_melen_airport,van__turkey
VAO,AGGV,suavanao_airport[dapi],suavanao__solomon_islands
VAP,SCRD,rodelillo_airfield[dapi],valparaíso__chile
VAR,LBWN,varna_airport,varna__bulgaria
VAS,LTAR,sivas_airport,sivas__turkey
VAT,FMMY,vatomandry_airport[dapi],vatomandry__madagascar
VAU,NFNV,vatukoula_airport[dapi],vatukoula__fiji
VAV,NFTV,vavaʻu_international_airport[dapi],vavaʻu__tonga
VAW,ENSS,vardø_airport__svartnes,vardø__norway
VBA,VYAN,ann_airport[dapi],ann__myanmar
VBC,VYCZ,mandalay_chanmyathazi_airport[dapi],mandalay__myanmar
VBG,KVBG,vandenberg_air_force_base,lompoc__california__united_states
VBP,VYBP,bokpyin_airport[dapi],bokpyin__myanmar
VBS,LIPO,brescia_airport_(gabriele_d'annunzio_airport),brescia__lombardy__italy
VBV,NFVB,vanuabalavu_airport[dapi],vanua_balavu__fiji
VBY,ESSV,visby_airport,visby__sweden
VCA,VVCT,can_tho_international_airport,can_tho_(cần_thơ)__vietnam
VCD,YVRD,victoria_river_downs_airport[dapi],victoria_river_downs_station__northern_territory__australia
VCE,LIPZ,venice_marco_polo_airport,venice__veneto__italy
VCF,,valcheta_airport[dapi],valcheta__río_negro__argentina
VCH,SUVO,vichadero_airport,vichadero__uruguay
VCL,VVCA,chu_lai_international_airport,chu_lai__vietnam
VCP,SBKP,viracopos/campinas_international_airport,são_paulo_/_campinas__são_paulo__brazil
VCR,SVCO,carora_airport[dapi],carora__venezuela
VCS,VVCS,con_dao_airport_(cỏ_ống_airport),con_dao_island_(côn_đảo)__vietnam
VCT,KVCT,victoria_regional_airport,victoria__texas__united_states
VCV,KVCV,southern_california_logistics_airport,victorville__california__united_states
VDA,LLOV,ovda_airport,ovda_(uvda)__israel
VDB,ENFG,fagernes_airport__leirin,fagernes__norway
VDC,SSVC,glauber_rocha_airport,vitória_da_conquista__bahia__brazil
VDE,GCHI,el_hierro_airport[dapi],valverde__canary_islands__spain
VDH,VVDH,dong_hoi_airport[dapi],dong_hoi_(đồng_hới)__vietnam
VDI,KVDI,vidalia_regional_airport,vidalia__georgia__united_states
VDM,SAVV,gobernador_edgardo_castello_airport,viedma__río_negro__argentina
VDO,VVVD,van_don_international_airport,ha_long__quang_ninh_(quảng_ninh)__vietnam
VDP,SVVP,valle_de_la_pascua_airport,valle_de_la_pascua__venezuela
