iata,icao,airport_name,location_served
XAI,,xinyang_minggang_airport,xinyang__henan__china
XAL,,álamos_airport,álamos__sonora__mexico
XAP,SBCH,serafin_enoss_bertaso_airport,chapecó__santa_catarina__brazil
XAR,DFOY,aribinda_airport,aribinda__burkina_faso
XAU,SOOS,saül_airport,saül__french_guiana
XBB,,blubber_bay_seaplane_base,blubber_bay__british_columbia__canada
XBE,,bearskin_lake_airport_(tc:_cnedapi),bearskin_lake__ontario__canada
XBG,DFEB,bogande_airport,bogandé__burkina_faso
XBJ,OIMB,birjand_international_airport,birjand__iran
XBL,HABB,bedele_airport_(buno_bedele_airport),bedele__ethiopia
XBN,,biniguni_airport,biniguni__papua_new_guinea
XBO,DFEA,boulsa_airport,boulsa__burkina_faso
XBR,,brockville_regional_tackaberry_airport_(tc:_cnldapi),brockville__ontario__canada
XCH,YPXM,christmas_island_airport,christmas_island__australia
XCL,,cluff_lake_airport_(tc:_cjsdapi),cluff_lake__saskatchewan__canada
XCM,CYCK,chatham-kent_airport,chatham-kent__ontario__canada
XCN,,coron_airport,coron__philippines
XCO,YOLA,colac_airport,colac__victoria__australia
XCR,LFOK,châlons_vatry_airport,châlons-en-champagne__champagne-ardenne__france
XDE,DFOU,diébougou_airport,diébougou__burkina_faso
XDJ,DFCJ,djibo_airport,djibo__burkina_faso
XEN,ZYXC,xingcheng_airport,xingcheng__liaoning__china
XES,,grand_geneva_resort_airport_(faa:_cdapidapi),lake_geneva__wisconsin__united_states
XFN,ZHXF,xiangyang_liuji_airport,xiangyang__hubei__china
XFW,EDHI,hamburg_finkenwerder_airport,hamburg__germany
XGA,DFOG,gaoua_airport_(amilcar_cabral_airport),gaoua__burkina_faso
XGG,DFEG,gorom_gorom_airport,gorom-gorom__burkina_faso
XGN,FNXA,xangongo_airport,xangongo__angola
XGR,CYLU,kangiqsualujjuaq_(georges_river)_airport,kangiqsualujjuaq__quebec__canada
XIC,ZUXC,xichang_qingshan_airport,xichang__sichuan__china
XIE,,xienglom_airport[dapi],xienglom__laos
XIG,,xinguara_municipal_airport,xinguara__pará__brazil
XIJ,OKAJ,ahmad_al-jaber_air_base[dapi],al_ahmadi__kuwait
XIL,ZBXH,xilinhot_airport,xilinhot__inner_mongolia__china
XIN,ZGXN,xingning_air_base,xingning__guangdong__china
XIY,ZLXY,xi'an_xianyang_international_airport,xi'an__shaanxi__china
XJD,OTBH,al_udeid_air_base[dapi],al_rayyan__qatar
XJM,OPMA,mangla_airport[dapi],mangla__pakistan
XKA,DFEL,kantchari_airport,kantchari__burkina_faso
XKH,VLXK,xieng_khouang_airport,phonsavan__laos
XKS,CYAQ,kasabonika_airport,kasabonika__ontario__canada
XKY,DFCA,kaya_airport,kaya__burkina_faso
XLB,CZWH,lac_brochet_airport,lac_brochet__manitoba__canada
XLO,,long_xuyen_airport,long_xuyên__vietnam
XLS,GOSS,saint-louis_airport,
