iata,icao,airport_name,location_served
ZAA,,alice_arm/silver_city_water_aerodrome_(tc:_cacdapi),alice_arm__british_columbia__canada
ZAC,CZAC,york_landing_airport,york_landing__manitoba__canada
ZAD,LDZD,zadar_airport,zadar__croatia
ZAG,LDZA,franjo_tuđman_airport,zagreb__croatia
ZAH,OIZH,zahedan_airport,zahedan__iran
ZAJ,OAZJ,zaranj_airport,zaranj__afghanistan
ZAL,SCVD,pichoy_airport,valdivia__chile
ZAM,RPMZ,zamboanga_international_airport,zamboanga_city__philippines
ZAO,LFCC,cahors_-_lalbenque_airport,cahors__midi-pyrénées__france
ZAR,DNZA,zaria_airport,zaria__nigeria
ZAT,ZPZT,zhaotong_airport,zhaotong__yunnan__china
ZAZ,LEZG,zaragoza_airport,zaragoza__aragon__spain
ZBE,LKZA,zábřeh_airport,dolní_benešov__czech_republic
ZBF,CZBF,bathurst_airport,bathurst__new_brunswick__canada
ZBK,,žabljak_airport,žabljak__montenegro
ZBL,,biloela_airport,biloela__queensland__australia
ZBM,CZBM,roland-désourdy_airport,bromont__quebec__canada
ZBO,YBWN,bowen_airport,bowen__queensland__australia
ZBR,OIZC,konarak_airport,chabahar_(chah_bahar)__iran
ZBY,VLSB,sayaboury_airport,sainyabuli_(sayaboury)__laos
ZCL,MMZC,general_leobardo_c._ruiz_international_airport,zacatecas_city__zacatecas__mexico
ZCO,SCQP,la_araucanía_airport,temuco__chile
ZDJ,,bern_railway_station,bern__switzerland
ZDY,OMDL,dalma_airport,dalma_island_(delma_island)__united_arab_emirates
ZEC,FASC,secunda_airport,secunda__south_africa
ZEG,,senggo_airport,senggo__indonesia
ZEL,CBBC,bella_bella_(campbell_island)_airport,bella_bella__british_columbia__canada
ZEM,CZEM,eastmain_river_airport,eastmain__quebec__canada
ZEN,,zenag_airport[dapi],zenag__papua_new_guinea
ZER,VEZO,zero_airport_(ziro_airport),ziro__arunachal_pradesh__india
ZFA,CZFA,faro_airport,faro__yukon__canada
ZFD,CZFD,fond-du-lac_airport,fond-du-lac__saskatchewan__canada
ZFM,CZFM,fort_mcpherson_airport,fort_mcpherson__northwest_territories__canada
ZFN,CZFN,tulita_airport,tulita__northwest_territories__canada
ZFW,,fairview_airport_(tc:_cebdapi),fairview__alberta__canada
ZGF,CZGF,grand_forks_airport,grand_forks__british_columbia__canada
ZGI,CZGI,gods_river_airport,gods_river__manitoba__canada
ZGL,YSGW,south_galway_airport,south_galway_station__queensland__australia
ZGM,FLNA,ngoma_airport,ngoma__zambia
ZGR,CZGR,little_grand_rapids_airport,little_grand_rapids__manitoba__canada
ZGS,,la_romaine_airport_(tc:_cttdapi),la_romaine__quebec__canada
ZGU,NVSQ,gaua_airport,gaua__vanuatu
ZHA,ZGZJ,zhanjiang_airport,zhanjiang__guangdong__china
ZHM,VGSH,shamshernagar_airport,shamshernagar__bangladesh
ZHP,CZHP,high_prairie_airport,high_prairie__alberta__canada
ZHY,ZLZW,zhongwei_shapotou_airport_(zhongwei_xiangshan_airport),zhongwei__ningxia__china
ZIA,UUBW,ramenskoye_airport[dapi]_(zhukovsky_airport),zhukovsky__moscow_oblast__russia
ZIC,SCTO,victoria_airport,victoria__chile
ZIG,GOGG,ziguinchor_airport,ziguinchor__senegal
ZIH,MMZH,ixtapa-zihuatanejo_international_airport,ixtapa_/_zihuatanejo__guerrero__mexico
ZIS,HLZN,alzintan_airport[dapi],zintan__libya
ZIX,UEVV,zhigansk_airport[dapi],zhigansk__yakutia__russia
ZIZ,,zamzama_airport[dapi],zamzama__pakistan
